  What is your gender?  ,What type of institution did you attend prior to university  ,  What type of Institution are you currently enrolled in?  ,  What is your field of study?  ,Current University Admission Criteria ,What is the approximate cost of your semester fee? (An estimate is fine.) ,How much financial difficulty do you experience in paying your university fees?  ,Does your university offer financial aid or scholarships?  ,What is your CGPA,How would you rate the level of academic stress you experience in your university?  ,How would you rate your professors' support and approachability?  ,"How frequently do professors use technology (e.g., online resources, learning management systems, multimedia tools) in their teaching?  ",Have you had the opportunity to engage in interdisciplinary courses or projects at your university?  ,"How often do you participate in extracurricular activities (clubs, sports, student organizations, cultural events) at your university?  ",How satisfied are you with the career counseling services provided at your university?  ,"What are your post-graduation plans?
",How long does it typically take you to commute to university?  ,What are the challenges you face in your studies? (Check all that apply),Would you suggest the institution you are studying at to your sibling?,Column 20,Column 21,Column 22
Female,Private School,Private,"Medical and Health Sciences (e.g., Medicine, Nursing, Public Health)",Recommendations or referrals,150k - 200k,Easy (Manage to pay without much difficulty),Not sure,2.1 - 2.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, frequently",Frequently,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,Financial constraints,"Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",3.1 - 3.5,High stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, frequently",Frequently,Satisfied,Seeking employment,More than 90 minutes,Financial constraints,"Yes, with some reservations",,,
Male,Private School,Private,"Business and Management (e.g., Marketing, Finance, HR)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)",Not sure,3.6 - 4.0,High stress,Very supportive and approachable,Frequently (Most classes),"Yes, occasionally",Rarely,Satisfied,Seeking employment,15–30 minutes,Family responsibilities,I'm unsure/Not sure yet,,,
Female,Public School (Government-funded),Public (Government-funded),"Social Sciences (e.g., Sociology, Psychology, Political Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, frequently",Rarely,Neutral,Starting a business,15–30 minutes,Academic workload,"Yes, definitely",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,High stress,Not very supportive or approachable,Frequently (Most classes),"Yes, frequently",Rarely,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,"Academic workload, Financial constraints, Family responsibilities","Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,Very easy (I do not face any financial difficulty in paying my fees),Not sure,3.6 - 4.0,High stress,Very supportive and approachable,Very frequently (Almost every class),"No, but I would like to",Occasionally,Very satisfied,Seeking employment,15–30 minutes,None.,"Yes, definitely",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)",Not sure,3.6 - 4.0,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Never,Satisfied,Seeking employment,15–30 minutes,Financial constraints,I'm unsure/Not sure yet,,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",150k - 200k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",2.6 - 3.0,High stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, frequently",Occasionally,Dissatisfied,Seeking employment,15–30 minutes,"Availability of resources (e.g., library, online materials)",I'm unsure/Not sure yet,,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",100k - 150k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, I have not had the opportunity",Rarely,Neutral,Seeking employment,15–30 minutes,Financial constraints,"Yes, definitely",,,
Female,Private School,Private,Islamic studies ,"Academic performance (e.g., high school grades, CGPA)",Below 50k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Supportive but not very approachable,Very frequently (Almost every class),"Yes, occasionally",Never,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",More than 90 minutes,Financial constraints,"Yes, with some reservations",,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",3.6 - 4.0,High stress,Not very supportive or approachable,Rarely (Seldom used),"No, but I would like to",Never,Dissatisfied,Seeking employment,15–30 minutes,"Financial constraints, Family responsibilities",I'm unsure/Not sure yet,,,
Male,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Moderate stress,Very supportive and approachable,Frequently (Most classes),"Yes, occasionally",Rarely,Neutral,Seeking employment,60– 90 minutes,"Financial constraints, Support from peers and faculty, Availability of resources (e.g., library, online materials)","Yes, definitely",,,
Female,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,Very easy (I do not face any financial difficulty in paying my fees),"Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Never,Neutral,Starting a business,More than 90 minutes,Academic workload,I'm unsure/Not sure yet,,,
Female,Homeschooling,Private,"Sciences (e.g., Physics, Chemistry, Biology)","Extracurricular achievements (e.g., sports, arts, leadership roles)",100k - 150k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Very high stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, but I would like to",Occasionally,Very dissatisfied,Starting a business,60– 90 minutes,Family responsibilities,"No, I wouldn't suggest it",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, occasionally",Rarely,Very satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,Family responsibilities,"Yes, definitely",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",2.1 - 2.5,Very high stress,Supportive but not very approachable,Occasionally (Some classes),"No, but I would like to",Never,Very dissatisfied,Starting a business,15–30 minutes,"Academic workload, Financial constraints","No, I wouldn't suggest it",,,
Female,Private School,Private,"Business and Management (e.g., Marketing, Finance, HR)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",3.6 - 4.0,Very high stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Occasionally,Dissatisfied,Seeking employment,60– 90 minutes,Academic workload,"No, I wouldn't suggest it",,,
Male,Public School (Government-funded),Not currently enrolled,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,High stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, occasionally",Rarely,Neutral,Seeking employment,15–30 minutes,"Academic workload, Financial constraints, Family responsibilities","Yes, with some reservations",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, occasionally",Occasionally,Satisfied,Seeking employment,31–60 minutes,Academic workload,"Yes, definitely",,,
Male,Public School (Government-funded),Private,"Business and Management (e.g., Marketing, Finance, HR)",Recommendations or referrals,50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, occasionally",Occasionally,Neutral,Seeking employment,60– 90 minutes,Financial constraints,"Yes, with some reservations",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Very high stress,Very supportive and approachable,Frequently (Most classes),"Yes, occasionally",Rarely,Satisfied,IDK,31–60 minutes,"Academic workload, Financial constraints","Yes, definitely",,,
Male,Private School,Private,"Business and Management (e.g., Marketing, Finance, HR)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",2.6 - 3.0,Moderate stress,Very supportive and approachable,Occasionally (Some classes),"Yes, occasionally",Rarely,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,Financial constraints,"Yes, definitely",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams), Extracurricular achievements (e.g., sports, arts, leadership roles)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Not very supportive or approachable,Rarely (Seldom used),"No, but I would like to",Occasionally,Satisfied,Starting a business,31–60 minutes,Support from peers and faculty,"Yes, with some reservations",,,
Female,Private School,Private,"Business and Management (e.g., Marketing, Finance, HR)","Extracurricular achievements (e.g., sports, arts, leadership roles)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, I am currently receiving financial aid or a scholarship.",2.1 - 2.5,High stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, occasionally",Frequently,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,Financial constraints,"No, I wouldn't suggest it",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",100k - 150k,"Very difficult (Struggling to cover fees, require loans or assistance)",Not sure,3.1 - 3.5,No stress at all,Very supportive and approachable,Frequently (Most classes),"Yes, frequently",Very frequently,Satisfied,Starting a business,15–30 minutes,Family responsibilities,"Yes, with some reservations",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)",Recommendations or referrals,50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)",Not sure,2.6 - 3.0,Very high stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, but I would like to",Never,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,"Academic workload, Financial constraints, Family responsibilities, Support from peers and faculty, Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",3.6 - 4.0,High stress,"Neutral (Supportive at times, less approachable)",Occasionally (Some classes),"No, I have not had the opportunity",Never,Neutral,Starting a business,More than 90 minutes,"Financial constraints, Family responsibilities","Yes, with some reservations",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",Below 50k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, occasionally",Never,Satisfied,Seeking employment,31–60 minutes,Academic workload,"Yes, with some reservations",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)",Not sure,3.6 - 4.0,High stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, frequently",Frequently,Satisfied,Seeking employment,15–30 minutes,Academic workload,"Yes, with some reservations",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",150k - 200k,"Difficult (Often face financial stress, but manage with some support)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,High stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, occasionally",Occasionally,Neutral,"Not sure, if I'll wait for my degree. I'll start my own business. ",15–30 minutes,Financial constraints,"No, I wouldn't suggest it",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)",Not sure,3.1 - 3.5,High stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Occasionally,Neutral,Starting a business,15–30 minutes,Financial constraints,"Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),Mass communication,"Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","No, my university does not offer financial aid or scholarships.",2.6 - 3.0,Moderate stress,Very supportive and approachable,Occasionally (Some classes),"No, but I would like to",Rarely,Satisfied,Starting a business,31–60 minutes,Support from peers and faculty,"Yes, with some reservations",,,
Female,Private School,Not currently enrolled,"Sciences (e.g., Physics, Chemistry, Biology)",Not enrolled,Below 50k,Easy (Manage to pay without much difficulty),"Yes, I am currently receiving financial aid or a scholarship.",3.6 - 4.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Occasionally (Some classes),"Yes, occasionally",Occasionally,Neutral,Seeking employment,15–30 minutes,Academic workload,"Yes, definitely",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Very high stress,Not very supportive or approachable,Very frequently (Almost every class),"Yes, occasionally",Rarely,Dissatisfied,Seeking employment,More than 90 minutes,"Academic workload, Financial constraints, Family responsibilities, Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Very high stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, but I would like to",Never,Very dissatisfied,Starting a business,60– 90 minutes,"Academic workload, Financial constraints, Family responsibilities","No, I wouldn't suggest it",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)",Recommendations or referrals,50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Supportive but not very approachable,Very frequently (Almost every class),"Yes, frequently",Occasionally,Satisfied,Seeking employment,31–60 minutes,"Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Male,Public School (Government-funded),Public (Government-funded),"Business and Management (e.g., Marketing, Finance, HR)","Academic performance (e.g., high school grades, CGPA)",100k - 150k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Supportive but not very approachable,Frequently (Most classes),"Yes, occasionally",Frequently,Neutral,Starting a business,31–60 minutes,Financial constraints,"No, I wouldn't suggest it",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Very high stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, occasionally",Very frequently,Very satisfied,Starting a business,15–30 minutes,"Academic workload, Financial constraints, Availability of resources (e.g., library, online materials)","Yes, definitely",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",2.1 - 2.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, but I would like to",Frequently,Dissatisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,Support from peers and faculty,"Yes, with some reservations",,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,Very supportive and approachable,Frequently (Most classes),"Yes, occasionally",Very frequently,Satisfied,Seeking employment,15–30 minutes,Academic workload,"Yes, definitely",,,
Male,Private School,Public (Government-funded),"Sciences (e.g., Physics, Chemistry, Biology)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,Easy (Manage to pay without much difficulty),Not sure,2.6 - 3.0,Moderate stress,Very supportive and approachable,Occasionally (Some classes),"No, I have not had the opportunity",Rarely,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,Academic workload,"Yes, definitely",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,Easy (Manage to pay without much difficulty),"No, my university does not offer financial aid or scholarships.",2.1 - 2.5,Very high stress,Not very supportive or approachable,Never (Not used at all),"No, I have not had the opportunity",Never,Neutral,Starting a business,31–60 minutes,"Academic workload, Availability of resources (e.g., library, online materials)","Yes, with some reservations",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, but I would like to",Never,Very dissatisfied,Seeking employment,More than 90 minutes,"Financial constraints, Family responsibilities, Support from peers and faculty","Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Rarely (Seldom used),"Yes, occasionally",Frequently,Dissatisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,"Financial constraints, Family responsibilities","Yes, with some reservations",,,
Female,Private School,Not currently enrolled,"Medical and Health Sciences (e.g., Medicine, Nursing, Public Health)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",3.1 - 3.5,Low stress,Not very supportive or approachable,Frequently (Most classes),"Yes, frequently",Occasionally,Dissatisfied,Nothing ,15–30 minutes,"Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Male,Private School,Public (Government-funded),"Business and Management (e.g., Marketing, Finance, HR)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, occasionally",Rarely,Satisfied,Seeking employment,15–30 minutes,"Academic workload, Financial constraints, Family responsibilities","Yes, with some reservations",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Low stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, frequently",Occasionally,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,Financial constraints,"Yes, definitely",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,High stress,Not very supportive or approachable,Never (Not used at all),"No, I have not had the opportunity",Never,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,"Family responsibilities, Support from peers and faculty","Yes, with some reservations",,,
Female,Public School (Government-funded),Public (Government-funded),"Business and Management (e.g., Marketing, Finance, HR)",High grade in inter and matric ,50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,Supportive but not very approachable,Frequently (Most classes),"No, but I would like to",Frequently,Neutral,Starting a business,15–30 minutes,"Academic workload, Financial constraints, Not these are my main challenge but I want to be independent and pay my own fees","Yes, with some reservations",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Supportive but not very approachable,Frequently (Most classes),"Yes, occasionally",Frequently,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,"Availability of resources (e.g., library, online materials)","Yes, with some reservations",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Moderate stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, occasionally",Occasionally,Satisfied,Seeking employment,60– 90 minutes,"Financial constraints, Family responsibilities","No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,High stress,"Neutral (Supportive at times, less approachable)",Rarely (Seldom used),"Yes, frequently",Rarely,Neutral,Seeking employment,60– 90 minutes,"Academic workload, Financial constraints","Yes, with some reservations",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Very high stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, frequently",Very frequently,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,"Academic workload, Financial constraints",I'm unsure/Not sure yet,,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, I am currently receiving financial aid or a scholarship.",3.6 - 4.0,Very high stress,Very supportive and approachable,Very frequently (Almost every class),"No, but I would like to",Very frequently,Very satisfied,Web Developer ,31–60 minutes,"Academic workload, Financial constraints, Family responsibilities, Support from peers and faculty, Availability of resources (e.g., library, online materials)","Yes, definitely",,,
Male,Public School (Government-funded),Public (Government-funded),"Business and Management (e.g., Marketing, Finance, HR)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, I have not had the opportunity",Never,Neutral,Seeking employment,15–30 minutes,"Academic workload, Financial constraints, Family responsibilities",I'm unsure/Not sure yet,,,
Female,Private School,Private,"Arts and Humanities (e.g., Literature, History, Fine Arts)","Academic performance (e.g., high school grades, CGPA)",Above 200k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, I am currently receiving financial aid or a scholarship.",2.6 - 3.0,High stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, frequently",Very frequently,Very satisfied,Seeking employment,15–30 minutes,Financial constraints,"Yes, definitely",,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",150k - 200k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",2.6 - 3.0,High stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, frequently",Occasionally,Dissatisfied,Seeking employment,15–30 minutes,"Availability of resources (e.g., library, online materials)",I'm unsure/Not sure yet,,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",100k - 150k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, I have not had the opportunity",Rarely,Neutral,Seeking employment,15–30 minutes,Financial constraints,"Yes, definitely",,,
